Sentiment,Sentence,preprocess_libyan_arabic,Processed_Text_base_ai
positive,و لا يوم في لحظة خطر,يوم لحظه خطر,يوم لحظه خطر
positive,أيام كل ما يتلاقو تبتسـم,ايام كل يتلاقو تبتسم,يوم كل تلاقى ابتسم
positive,و كل يوم يكبر من غلاي نصيبك,كل يوم يكبر غلا نصيب,يوم كبر غلا نصيب
negative,لا يوم كافيتي بجنان حنيني,يوم كاف جنان حنيني,يوم كاف جنان حنين
positive,و يوم القلب ما يهوى,يوم قلب يهو,يوم قلب هو
negative,ما يوم فيا اتشك,يوم فيا اتشك,يوم في شك
negative,من يوم ما فضيت و شين خيالي,يوم فضيت شين خيالي,يوم فضا شين خيال
positive,و ما يوم نفرض عالبشر أنا حالي,يوم نفرض عالبشر حالي,يوم فرض بشر حال
negative,و كل يوم تفجعنى بهم جديد,كل يوم تفجع بهم جديد,يوم فجع هم جديد
positive,يوم فاض كيف اليعابيب,يوم فاض عابيب,يوم فاض عبب
negative,لا كان يوم و فات,يوم فات,يوم فات
negative,من يوم غيبتك و الدمع ما خاطيها,يوم غيب دمع خاط,يوم غيب دمع خط
positive,و لا يوم تغلط لا تقول شتيمة,يوم تغلط تقول شتيم,يوم غلط قول شتم
negative,من يوم غلطتك و الجرح ما ريحني,يوم غلط جرح ريح,يوم غلط جرح ريح
positive,أيام الغلاء في ماضي جميل عشناه,ايام غلاء ماضي جميل عشناه,يوم غلا ماضي جميل عاش
positive,كل يوم الغلا في زيادة,كل يوم غلا زياد,يوم غلا زياد
negative,يوم الغزات يهيلوا تهييل,يوم الغزات يهيل تهييل,يوم غزا يهيل تهييل
negative,و من يوم غابت علينا,يوم غاب علينا,يوم غاب علينا
negative,من يوم غاب زوالك ع الحياة,يوم غاب زوالك ع الحياه,يوم غاب زوال حياه
positive,ما يوم غابن بسمته و نقاه,يوم غابن بسمته نقاه,يوم غاب بسمه نقى
positive,يوم عيشة روق,يوم عيشه روق,يوم عيش روق
positive,كل يوم عيدك يا غلاي سعيد,كل يوم عيد يا غلا سعيد,يوم عيد غلا سعيد
negative,في أيام عمره يراجي,ايام عمر يراج,يوم عمر يراج
negative,و كل يوم نتعلم أو في يتعلمو,كل يوم نتعلم يتعلمو,يوم علم علم
negative,و كل يوم  نتعلم أو في يتعلمو,كل يوم نتعلم يتعلمو,يوم علم علم
positive,و لا يوم نعرف عجرفة و تعالي,يوم نعرف عجرف تعالي,يوم عرف عجرف تعال
positive,و كل يوم طيفك شورها ايتهايا,كل يوم طيف شور ايتهايا,يوم طيف شور ايتهايا
positive,يوم الطهار أكيد فيه وعينا,يوم طهار اكيد فيه وعينا,يوم طهر اكيد عين
negative,لا يوم طرفك للغرام طرحتي,يوم طرف غرام طرح,يوم طرف غرام طرح
positive,‏يوم يطب ‏نوتيله الزفة,يوم يطب نوتيل الزفه,يوم طب نوتيل زفه
negative,ف كل يوم طايح و راقي,ف كل يوم طايح راق,يوم طايح راق
negative,من يوم ما ضني خلاص امخيب,يوم ضني خلاص امخيب,يوم ضنى خلص خيب
positive,يوم ضاق بيها الحال ما نادتكم,يوم ضاق بيها الحال ناد,يوم ضاق حال ناد
negative,كان يوم له صولات له جولات,يوم له صول له جول,يوم صول جول
positive,و كل يوم يصدو هجوم,كل يوم يصدو هجوم,يوم صد هجوم
positive,و من يوم اللي صارت هيبتها,يوم صار هيب,يوم صار هيب
positive,يوم شفت الفرحة في عيون بنياتك,يوم شفت الفرحه عيون بنياتك,يوم شوف فرح عين بنت
negative,و كل يوم له شهداء,كل يوم له شهداء,يوم شهد
positive,يوم فيه الشرك بالباطل تقوى,يوم فيه الشرك اطل تقو,يوم شرك طل تقو
negative,ما يوم شالنك بعيد افكارك,يوم شالن عيد افكار,يوم شال عيد فكر
negative,ايام و سنين العمر و انت قاسي,ايام سنين عمر قاس,يوم سنه عمر قسا
positive,يوم فيه ما تسمع الا الصهيل,يوم فيه تسمع الا صهيل,يوم سمع صهيل
positive,كل يوم ليك سلامي و كل وقت ليك ادعايا,كل يوم ليك سلام كل وقت ليك ادعايا,يوم سلام وقت ادعا
positive,لليوم سراميك و جريدينة,يوم سرام جريد,يوم سرام جريد
positive,و في يوم زفتها,يوم زفتها,يوم زفه
positive,و ما يوم تزعل منه,يوم تزعل منه,يوم زعل منه
positive,اللي يوم ما  زعل و جرح حد,يوم زعل جرح حد,يوم زعل جرح حد
positive,لهم يوم ما نروم تهميش,لهم يوم نروم تهميش,يوم روم تهميش
positive,يوم الرميلة كي الأبابيل,يوم رميل كي ابيل,يوم رميل كي ابيل
positive,و ما يوم رمنا نقايد,يوم رمنا نقايد,يوم رمى نقيد
negative,و يوم الرقيم يزخرفوا بالصدة,يوم رقيم يزخرف بالصده,يوم رقيم زخرف صدى
positive,و لا يوم راغب فالحياة تنكيدك,يوم راغب فالحياه تنكيد,يوم رغب حياه نكد
positive,ما يوم يرخصو حتي انكان جفونا,يوم يرخصو جفو,يوم رخص جفا
negative,افيوم ترخص عنهم,افيوم ترخص عنهم,يوم رخص
positive,يوم رحيله نضحك فل,يوم رحيل نضح فل,يوم رحيل نضح فل
negative,من يوم الرحيل توكل,يوم رحيل توكل,يوم رحيل توكل
negative,يوم ما رحل غالينا,يوم رحل غالينا,يوم رحل غالي
negative,يـوم رحلت هـدا اللـي بقى,يوم رحل بقي,يوم رحل بقى
positive,و ما يوم يرجع خاطري في وعوده,يوم يرجع خاطر عود,يوم رجع خاطر عود
positive,أيام و المربي جاي من رباية,ايام مرب جاي ربا,يوم ربى جاى ربى
negative,و من يوم ريتك صايبتني علة,يوم ريتك صايب عله,يوم راي صايب عله
negative,في يوم رابخ من صليق انحاسة,يوم رابخ صليق حاس,يوم رابخ صليق حاس
positive,و لا يوم الذل رضيناه,يوم الذل رضيناه,يوم ذل رضي
positive,يوم المدعك يداعولك,يوم مدع يداعو,يوم دعى دعو
negative,و لا يوم دخلوا الكتايب,يوم دخل كتايب,يوم دخل كتيبه
negative,و كل يوم فيا دايرين مصيبة,كل يوم فيا داير مصيب,يوم دار مصيبه
positive,ما في يوم ايخيب ظني,يوم ايخيب ظني,يوم خاب ظن
negative,يوم وحلها,يوم وحلها,يوم حل
positive,يوم حشرها للحسايب,يوم حشر حسايب,يوم حشر حسب
negative,يوم حس المهاجي اتقول شليل,يوم حس مهاج اتقول شليل,يوم حس مهاج قول شليل
negative,يوم  فيه حسيت لفطام,يوم فيه حسيت طام,يوم حس طم
negative,من يوم ما فالحاج نا عزوني,يوم حاج نا عزو,يوم حج عزو
negative,يوم جي سايق ارتاله,يوم جي سايق ارتاله,يوم جي ساق ارتال
positive,يومن جيتك,يومن جيتك,يوم جي
negative,و انتي اللي كل يوم جارحتيني,انتي كل يوم جارح,يوم جرح
negative,انتي اللي كل يوم جارحتيني,انتي كل يوم جارح,يوم جرح
positive,يوم جديد  في لبسة جديد,يوم جديد لبسه جديد,يوم جديد لبس جديد
positive,لا يوم اتغشش لا يتعكر جوك,يوم اتغ يتعكر جوك,يوم تعكر جو
positive,يوم التراب يقبلوا تقبيل,يوم تراب يقبل تقبيل,يوم تراب قبل قبل
negative,و يومك بلا امك الله لا اتجيبه,يوم بلا امك الله اتجيب,يوم بلا ام جيب
positive,كل يوم بقدومك العين ايمنوا,كل يوم بقدومك العين ايمن,يوم بقدوم عين ايمن
negative,من يوم بان العيب منك فيه,يوم بان عيب منك فيه,يوم بان عيب فيه
positive,يوم امتحن فالمكاسب,يوم امتحن مكاسب,يوم امتحن مكاسب
positive,فيوم الام تقسى عن ضناها,فيوم الام تقس ضناها,يوم ام قسا ضنى
negative,كيف يوم ما فارقت بويا و امي,يوم ارق بويا امي,كيف يوم ما فارق بو ام
positive,ما يوم نرضى فيه وخزة سلة,يوم نرض فيه وخزه سله,يوم ارض وخز سل
positive,ولا يوم نرضى ينكسر وجداني,يوم نرض ينكسر جدا,يوم ارض كسر جدا
positive,و لا يوم غيرك كان,يوم,يوم غير كان
negative,و من يومها,يوم,يوم
positive,و الأيامات,الايامات,ايام
positive,و من كان يوقد اشموعك,يوقد موع,كان وقد شمعه
positive,يوفن امعايا,يوفن امعايا,يوفن معاي
positive,ايواصل ف ناسه,ايواصل ف ناس,يوصل ناس
negative,يودك بالشي البلهون,يود بالشي هون,يود شي هون
negative,اللي يوجعك جرح الحبيب الداني,يوجع جرح حبيب الداني,يوجع جرح حبيب داني
negative,و لا يوجعك جار لو شال,يوجع جار لو شال,يوجع جار شال
positive,ليوث الوغى خيرة ارجاله,يوث الوغي خير ارج,يوث وغا خير ارج
positive,و ليوث كسارة اخشوم الاشاوس,يوث كسار اخشوم شاوس,يوث كسر خشم شاوس
positive,من ليوث الفيافي جايبين امواير,يوث الفيافي جايب امواير,يوث فياف جايب امواير
positive,في ليوث كانت اتدود عن حماها,يوث اتدود حما,يوث دود حمى
negative,يهيلن ادموع العين غصب علينا,يهيلن ادموع العين غصب علينا,يهيلن ادموع عين غصب علينا
positive,يهيلن الهموم و ايجني,يهيلن هموم ايج,يهيل هموم ايج
positive,لا يهون وطنه و لا ايفوت رفيقه,يهون وطنه ايفو رفيق,يهون وطن فو رفيق
positive,اللي يهون عني المشوار,يهون عني المشوار,يهون مشوار
negative,اللي يهون عيش و ملح واطى قدره,يهون عيش ملح واطي قدره,يهون عيش ملح وطي قدر
negative,يهون الرفق لا يقدر لا يصونه,يهون رفق يقدر يصون,يهون رفق قدر صون
negative,يهونك اللي ما خليت يوم يهون,يهون خليت يوم يهون,يهون خلى يوم يهون
positive,ما يهونوش ولاهم للابعاد,يهونو ولاهم ابعاد,يهون بعد
positive,يهوى القلب من نظره,يهو قلب نظر,يهو قلب نظر
positive,يهوى قريبه ليه,يهو قريب ليه,يهو قريب ليه
negative,يهوى على ضهرك براس موس,يهو ضهر راس موس,يهو ضهر راس موس
positive,ما يهمني من قال فيا و عاب,يهمني قال فيا عاب,يهمن قال عاب
positive,و ما يهمني صقال ناب مجالي,يهمني صقال ناب مجالي,يهمن صقال ناب مجال
positive,اللي يهمني صاحب معاي سند,يهمني صاحب معاي سند,يهمن صاحب معاي سند
positive,اللي ايهمنا في الوالدة و ارضاها,ايهمنا الوالده ارضا,يهم والده ارض
positive,لا ايهمني في الناس حتى شي,ايهمني ناس شي,يهم ناس شي
positive,و ما يهمنا في لومة اللي لايم,يهمنا لومه ايم,يهم لوم ايم
negative,و ما يهم لو نقوا عرب حسادة,يهم لو نقوا عرب حساد,يهم لو نقو عرب حساد
positive,ما ايهمني في الكون كاين حي,ايهمني كون كاين حي,يهم كون كان حي
positive,و ما يهمنا ف قولة,يهمنا ف قول,يهم قول
positive,ما يهمني واحد ابعيب طراني,يهمني ابعيب طرا,يهم عيب طر
positive,و ما يهم اخلاف,يهم اخلاف,يهم اخلاف
positive,يهفهف لفوق يفوت السوق,يهفهف لفوق يفو سوق,يهفهف فوق يف سوق
positive,و يهز الحنين اغصان شوقي ليه,يهز الحنين اغصان شوق ليه,يهز حنين غصن شوق ليه
positive,يهدو فرسان الفرسان,يهدو رسان رسان,يهدو رسان رسان
positive,و يهدو اللي حبو الغرام اقلوب,يهدو حبو غرام اقلوب,يهدو حب غرام قلب
positive,يهدن الفكر و مركزه يحتلن,يهدن الفكر مركز يحتلن,يهدن فكر مركز يحتل
negative,يهدد ف شعبه بقول,يهدد ف شعب قول,يهدد شعب قول
negative,يهد الورد و اغصانه,يهد الورد اغصان,يهد ورد غصن
positive,يهبل جوك م الاخير,يهبل جوك م خير,يهبل جو م خير
positive,ما يهاب الخطر لا يجزعه موت,يهاب خطر يجزع موت,يهاب خطر يجزع موت
positive,و ع اللي ما يهابو في حد,ع يهابو حد,يهاب حد
positive,و ينمو العشب في جرة السيل,ينمو عشب جره سيل,ينمو عشب جر سيل
negative,ينقض ادمام الجرح وقت ايصيبه,ينقض ادمام جرح وقت ايصيب,ينقض ادمام جرح وقت صاب
positive,لا ينغلق كيف الصخور الصمة,ينغلق صخور الصمه,ينغلق صخر صم
negative,وين ينطفن لشموع اتحس بالموجوع,ينطفن شموع اتحس موجوع,ينطف شموع حس وجع
positive,انت اللي ينطبعلك سمح الكلام,ينطبع سمح كلام,ينطبع سمح كلام
positive,و ينصف ناس كانتله جنود,ينصف ناس كانتل جنود,ينصف ناس كان جند
positive,و ما ينساك لو زمانك باعك,ينسا لو زمان باعك,ينسى لو زمن باع
negative,و ينـسو اللي درته معاهم كله,ينسو درته معاهم كله,ينسى درت مع هم كل
positive,ما ينساك,ينسا,ينسى
positive,ينسى أوجاعه وينسى داه,ينس اوجاع ينس داه,ينس وجع ينس داه
negative,و ينسوا طربهم كان غير طربت,ينس طرب طرب,ينس طرب طرب
negative,‏و ما ينتفعش الحي كان بدينا,ينتفع الحي بدينا,ينتفع حي دين
positive,ما ينتفخ ع الناس لو انشكر,ينتفخ ع ناس لو شكر,ينتفخ ناس شكر
positive,ينبض  و عنده فالعنان افخار,ينبض عنده فالعنان افخار,ينبض عند عنان فخر
negative,و اليمين من غيبت عزيز انشلت,اليمين غيب عزيز انشلت,يمين غيب عزيز شل
negative,عن يمينك و اليسار,يمينك سار,يمين سار
negative,لا يميزوا بين النخل و الغلة,يميز نخل الغله,يميز نخل غله
positive,يموج لطامي,يموج طام,يموج طام
negative,يموت البنادم و يكون للنسيان,يمو نادم يكون نسيان,يمو نادم كون نسيان
negative,يموت القرم و الحسرة فجوفه,يمو قرم حسر جوف,يمو قرم حسر جوف
negative,يموت بغليله والدروس عطيهم,يمو غليل دروس عطيهم,يمو غليل درس عطا
negative,يموت العاشق بهمه,يمو عاشق بهمه,يمو عاشق هم
negative,غير ﻣﻀيعة ﻛﺎﻥ ﺍﻟﻬﺪﻭﻡ ﻗﺪيمة,يعه يمه,غير مضيعه كان هدوم قديم
positive,يمنت عنها,يمن عنها,يمن عن
negative,يامن شرى قلبي,يامن شري قلب,يمن شري قلب
negative,و يمل م التكرار,يمل م تكرار,يملا تكرار
positive,و ما يملى مطراحك والي,يملي مطراح والي,يمل مطراح والي
negative,يمكن ضروف الوقت بيه اشتد,يمكن ضروف الوقت بيه اشتد,يمكن ضروف وقت بيه اشتد
negative,و يمكن ايجنيا وقتنا يشغلنا,يمكن ايجنيا وقتنا يشغل,يمكن اجن وقت شغل
negative,و يمكن ايجينا العمر وقته شاقي,يمكن ايج عمر وقته شاق,يمك ايج عمر وقت شاق
negative,ما يمطرن للعاطشين غيومه,يمطرن عاط غيوم,يمطرن عاط غيوم
positive,و ما يمضغن في اللي قريب ضروسنا,يمضغن قريب ضروس,يمضغ قرب ضروس
negative,يمشي بيش يخدم حمال,يمشي بيش يخدم حمال,يمشي يخدم حمل
positive,و يمشي الوجع و اتروق,يمشي الوجع اتروق,يمشي وجع روق
negative,يمشي معاهم لقب مصلحجية,يمشي معاهم لقب مصلحج,يمشي مع لقب مصلحج
negative,و وين ما يمشوا وين ما هم معقوبين,يمشوا قوب,يمشي قوب
positive,يمشي العمر مبروك و سعيد,يمشي عمر مبرو سعيد,يمشي عمر مبرو سعيد
negative,يمشي ويعثر,يمشي يعثر,يمشي عثر
positive,يمشي لين يسكن في اعداك,يمشي لين يسكن اعدا,يمشي سكن اعد
positive,يمشي يدور مطلع عالي,يمشي يدور مطلع عالي,يمشي دور طلع عالي
negative,يمشي الله لا يرده,يمشي الله يرد,يمشي الله رد
positive,يمشوا في المشوار و لقدار تصاحبهم,يمشوا المشوار لقدار تصاحب,يمشى مشوار قدر صاحب
negative,ايمشط و تمشيطه بوسعة بال,ايمشط تمشيط بوسعه بال,يمشط تمشيط وسع بال
negative,لا يمسكو في عهد لا مبداهم,يمسكو عهد مبدا,يمسكو عهد مبدا
positive,يمسح اللي عزمه قوي في اركانه,يمسح عزم قوي اركان,يمسح عزم قوي اركان
negative,و يمسح ادموعه في حواشي كمّه,يمسح ادموع حواشي كم ه,يمسح دموع حواشي كم ه
negative,يمسح ادموعك من,يمسح ادموع,يمسح دمع
positive,و لا يمد للحرام ايده,يمد حرام ايد,يمد حرم يد
positive,لكن كيف يمتد الحرف الساكن,يمتد حرف الساكن,يمتد حرف ساكن
negative,يمي ولدك عاجز كونه,يمي ولدك عاجز كون,يم ولد عجز كان
positive,و من يم القهر بمنك اتشله,يم قهر بمنك اتشل,يم قهر منك شل
negative,ماني لايم ع الغراب,ماني ايم ع غراب,يم غرب
positive,يم الطبع جميل عفيف,يم طبع جميل عفيف,يم طبع جميل عفيف
negative,لكن يموتوا في سماع اخبارك,يمو سماع اخبار,يم سماع اخبار
positive,و يم امواج,يم امواج,يم امواج
negative,يللي موسكم وسط الكنين غرس,يللي موس وسط الكنين غرس,يلي موس وسط كنين غرس
positive,يللي علي موج الزعل متعالي,يللي موج زعل متع,يلي موج زعل متع
positive,يللي كنت في عيني عزيز كبير,يللي كنت عيني عزيز كبير,يلي كان عين عزيز كبير
positive,يللي كنت ليكم كالدواء لجراحكم,يللي كنت ليكم دواء جراح,يلي كان دواء جرح
positive,يللي ابضمة دنيتي هونتي,يللي ابضم دنيتي هون,يلي ضم دنيا هون
positive,يللي شي ما تعرف نوايا سودة,يللي شي تعرف نوايا سود,يلي شي عرف نوى سود
positive,يللي دوم شاغلني و شاغل بالي,يللي دوم شاغل شاغل بالي,يلي دوم شغل شغل بالي
positive,يللي فجنب اسهيل فوق مقرك,يللي جنب اسهيل مقر,يلي جنب سهيل مقر
positive,يللي بيك  يحلوو الصباح,يللي بيك يحلوو صباح,يلي بيك حلو صباح
negative,يللي بلاكم دنيتي مشناها,يللي بلاكم دنيتي مشناها,يلي بلا دني مشى
positive,يللي ان بعدتي عالكنين قريبة,يللي ان بعدتي عالكنين قريب,يلي بعد كنين قريب
positive,يللي فبعدكم بطعم السعادة انحس,يللي فبعدكم طعم سعاد انحس,يلي بعد طعم سعد حس
positive,يللي قبل فايض حنك,يللي ايض حنك,يلي ايض حنك
negative,يلوي ادراعك لين يقطع يدك,يلو ادراع لين يقطع يدك,يلو ذراع قطع يد
negative,يلم فالحرام موكله لصغاره,يلم حرام موكل صغار,يلم حرام وكل صغار
positive,يللي امعاك  ندفى فــي الجليد,يللي امعا ندف جليد,يللي مع ندف جليد
positive,يللـي مسحــتــي لـوطنـــا دمـعــاتــه,يللي مسح لوطنا دمع,يللي مسح لوطن دمع
positive,يللي مسحتي الدمع والتنهيدة,يللي مسح دمع تنهيد,يللي مسح دمع تنهيد
positive,يللي قبل كنت تربطو و اتحلو,يللي كنت تربطو اتحلو,يللي كان ربط حل
positive,يللي كي القمر في الطلة,يللي كي قمر الطله,يللي قمر طله
positive,يللي فيك هايم أنا هويتك,يللي فيك هايم هويتك,يللي فيك هايم هوي
negative,يللي على غفلات خليتوني,يللي غفل خليتوني,يللي غفل خلى
positive,يللي بالطيبة معجونة,يللي طيب جون,يللي طيب جون
negative,يللي درتكم عكاز طيحتوني,يللي درتكم عكاز طيح,يللي درت عكاز طيح
positive,يللي في توصيفك حاير,يللي توصيف حاير,يللي توصيف حاير
positive,يللي تناسيم الحنان انسامك,يللي تناسيم حنان سام,يللي تناسيم حنان سام
positive,يللي تفرحي ساعة انابـش فيك,يللي تفرح ساع انابش فيك,يللي تفرح ساع نبش في
positive,يللي افكاري و الكنين سكنتي,يللي افكار الكنين سكنتي,يللي افكار كنين سكن
positive,يللي على لآخرين زايد نورك,يللي اخر زايد نور,يللي اخر زايد نور
positive,يللي على لآخرين زاد غلاك,يللي اخر زاد غلا,يللي اخر زاد غلا
negative,يلقاهم مصابي لا كبكبة لا كزة,يلقا مصاب كبكب كزه,يلقا مصاب كبكب كزه
positive,و يلقى المودة و الصفاء مرسومة,يلق مود صفاء مرسوم,يلق مود صفاء رسم
negative,لكن يلقوا منه وين,يلق منه,يلق منه
negative,يلقاه صبري زاد فيه انفرّق,يلق صبر زاد فيه انفر ق,يلق صبر زاد نفر ق
positive,و يلقى فالفردوس مكانه,يلق ردوس مكان,يلق ردوس مكان
negative,هو وين يلقي دليله,يلق دليل,يلق دليل
negative,يلقى اسماه العار,يلق اسم عار,يلق اسم عار
negative,و يلعنو في الملة,يلعنو المله,يلعن مله
negative,يلط بالعرق يبات كيف ينجي حاير,يلط عرق يبات ينج حاير,يلط عرق بات نجى حاير
positive,لا يلحقنك في غلاي اضنون,يلحقن غلا اضنون,يلحق غلا ضن
positive,لا يلحقك شك وعليا اتغيري,يلحق شك وعليا اتغير,يلحق شك علو تغير
positive,يلتفتلي و يبتسم,يلتف يبتسم,يلتف ابتسم
positive,ﻭ ﻋﺎﺭﻑ ﻣﺼﻴﺮﻩ ﻳﻌﻮﺩ و يلاقيني,يلاق,يلاق
negative,و يللي طغيت و كنت موش ابنادم,يللي طغيت كنت موش ابنادم,يل طغى كان ابن ادم
positive,و ما اتكون بعيوب الخلايق لاهي,اتكون عيوب خلايق لاهي,يكون عيب خلق لاهي
positive,انه بيكون في صف الفايزين,انه يكون صف ايز,يكون صف ايز
positive,يا يكون فالصدارة يا عزيز مكاني,يا يكون صدار يا عزيز مكا,يكون صدر عزيز مكان
negative,يكفيك يوم الدفن في الجبانة,يكف يوم دفن جبان,يكف يوم دفن جبن
positive,يكفيني انّك من وطـن مصراتيين,يكف ان ك وطن مصر,يكف وطن مصر
positive,يكفي م النهيبة,يكف م نهيب,يكف نهيب
negative,يكفينا يا ناس غبينة,يكف يا ناس غبينه,يكف ناس غبن
positive,يكفي كفا كفه كفاني كافي,يكف كفا كفه كفا كاف,يكف كفى كفى كاف
positive,يكفي كفا كافي كفا يكفيني,يكف كفا كاف كفا يكف,يكف كفا كاف كفا يكف
positive,يكفيه قلبي الفرح كل اهدافه,يكف قلب الفرح كل اهداف,يكف قلب فرح هدف
positive,و يكفيه عذاب و ما عانى,يكف عذاب عاني,يكف عذاب عانى
negative,يكفيك حمل اوجاع,يكف حمل اوجاع,يكف حمل اوجاع
positive,يكفي الجنة تكون تحت اقدامها,يكف الجنه تكون اقدام,يكف جنه كون قدم
positive,و يكفي امبادلني غلا و مودة,يكف امبادل غلا مود,يكف بادل غلا مود
negative,يكفيني يا امناي اهمـالك,يكف يا امناي اهمالك,يكف امناي اهمال
negative,يكشخ عليهم ايشالي,يكشخ عليهم ايشالي,يكشخ ايشالي
positive,يكسر مجادفهم ان كان امتد,يكسر مجادف ان امتد,يكسر مجداف امتد
positive,يكسيهم المولى ثوب ناعم خزه,يكس المولي ثوب ناعم خزه,يكس مولي ثوب ناعم خزه
positive,يكسي الارض و ايفتح ازهور,يكس الارض ايفتح ازهور,يكس ارض فتح زهر
positive,يكرام وجهي ما انصعر خده,يكرام وجهي صعر خده,يكرام وجهي صعر خد
negative,يكره الملعب و الحكم و الكورة,يكر ملعب الحكم كور,يكر ملعب حكم كور
negative,و يكره في روحه و في ظله,يكر روح ظله,يكر روح ظل
negative,و اللي يكرهك ما يخدعوك اسنونه,يكر يخدعو اسنون,يكر خدع سنن
negative,اللي يكرهك يحلم الحلمة الشينة,يكر يحلم حلم الشينه,يكر حلم شين
negative,يكره وجودك ف الحياة خليته,يكر جود ف الحياه خليته,يكر جود حياه خلى
positive,اللي يكرهك يا اميمتي ما نطيقه,يكر يا اميم نطيق,يكر اميم نطق
positive,اللي يكرهك يا اميمتي  ما نشبحله,يكر يا اميم نشبحل,يكر اميم نشبح
positive,اللي يكرهك يا اميمتي ما نمشيله,يكر يا اميم نمشيل,يكر اميم مشى
positive,اللي يكرهك يا اميمتي ما يعنيني,يكر يا اميم يعنيني,يكر اميم عنى
positive,ما يكذب احساسي,يكذب احساس,يكذب احساس
positive,و لا يكدرني,يكدر,يكدر
positive,يكتب علي منشور لي اسلمت,يكتب شور لي اسلم,يكتب شور سلم
negative,ايقولو هــبل في وين قرّب شـــمّك,ايقولو هبل قر شم ك,يقول هبل قر شم ك
negative,كيف ايقول للناس,ايقول ناس,يقول ناس
positive,و ايقول نا البحار,ايقول نا حار,يقول نا حار
negative,ايقولو الليل عالفاقد طويل,ايقولو الليل عالفاقد طويل,يقول ليل فقد طويل
negative,ايقولو و لو,ايقولو لو,يقول لو
positive,غير ايقولولي كمال,ايقولو كمال,يقول كمال
positive,ايقولو الكلام ان طال ماله كـــووس,ايقولو كلام ان طال ماله كووس,يقول كلام طال مال كوس
negative,يقولول عليه هرواك و اسكابات,يقولول هرواك اسكاب,يقول قول هروك اسكب
negative,ايقول قلبي,ايقول قلب,يقول قلب
negative,اتقول فيا اتعلم,اتقول فيا اتعلم,يقول علم
positive,و ايقول عللّي في الكسور ايجبّر,ايقول علل ي كسور ايجب ر,يقول علل كسر يجب ر
positive,و ايقول معجب بالغلا ايعشمني,ايقول معجب غلا ايعشم,يقول عجب غلا عشم
negative,و فيه اللي ما يقول كان العافن,فيه يقول عافن,يقول عافن
positive,ايقول فاطمه في عالمي نواره,ايقول اطم عالم نوار,يقول طم عالم نوار
positive,ايقول فاطمه حبي او موش ابصاره,ايقول اطم حبي موش ابصار,يقول طم حب مش بصر
negative,و ايقولوا عليك بالصبر خودي اسبابه,ايقول عليك صبر خود اسباب,يقول صبر خود اسباب
positive,يقولوا الصاحب ماعليه اخداع,يقول صاحب ماعليه اخداع,يقول صاحب خداع
positive,يقولوا رفيقة افلان ولد افلان,يقول رفيق افلان ولد افلان,يقول رفيق فلان ولد فلان
negative,و ايقول رفقة خير من يشريها,ايقول رفق خير يشر,يقول رفق خير يشر
positive,ايقولو فدايا الكون يفدى زولي,ايقولو دايا كون يفد زولي,يقول دايا كون فد زول
